
Gurobi 11.0.3 (linux64, Java) logging started sáb 30 nov 2024 21:57:56 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.5029985070196468e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 58003 rows, 39068 columns and 204825 nonzeros
Model fingerprint: 0xa44caea7
Model has 144 quadratic constraints
Variable types: 19466 continuous, 19602 integer (139 binary)
Coefficient statistics:
  Matrix range     [7e-03, 6e+05]
  QMatrix range    [7e-03, 2e+04]
  QLMatrix range   [1e+00, 2e+04]
  Objective range  [2e+00, 8e+06]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [5e-02, 5e-02]
Presolve removed 57813 rows and 38465 columns
Presolve time: 0.12s
Presolved: 637 rows, 749 columns, 6578 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 139 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 427 continuous, 322 integer (141 binary)
Found heuristic solution: objective 180950.82739

Root relaxation: objective 0.000000e+00, 77 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

*453676 359264             203    58502.580085 20138.9380  65.6%   2.9  159s
 454237 359670 51609.5240  132   56 58502.5801 20141.1798  65.6%   2.9  160s
 467506 370045 20841.5340   60   65 58502.5801 20183.5884  65.5%   2.9  165s
 480459 380383 43957.6037   95   48 58502.5801 20214.5206  65.4%   2.9  170s
 493726 390789 31581.2502   77   61 58502.5801 20252.0108  65.4%   2.9  175s
 506914 401472 55537.6931  134   44 58502.5801 20286.0597  65.3%   2.9  180s
 520943 412387 36858.2863   87   61 58502.5801 20327.7372  65.3%   2.9  185s
 533079 422175 30485.6230   87   63 58502.5801 20360.2093  65.2%   2.9  190s
 546120 432764 46367.9822  113   50 58502.5801 20385.1188  65.2%   2.9  195s
 559906 443633 46330.1127  111   54 58502.5801 20414.9118  65.1%   2.9  200s
 573164 454106 58001.3282  112   52 58502.5801 20448.3867  65.0%   2.9  205s
 588436 466538 41114.2474  109   53 58502.5801 20481.1726  65.0%   2.9  210s
 601821 476924     cutoff  129      58502.5801 20517.2926  64.9%   2.9  215s
 616457 488613 39725.7349   84   57 58502.5801 20555.5732  64.9%   2.9  220s
 628934 498351 29180.8483   61   62 58502.5801 20583.6525  64.8%   2.9  225s
 642628 509094 49795.7603   91   52 58502.5801 20614.9991  64.8%   2.9  230s
 656224 519807 52966.6551   90   50 58502.5801 20646.5251  64.7%   2.9  235s
 670340 531087 47338.7932  146   53 58502.5801 20678.2500  64.7%   2.9  240s
 683622 541558 23113.6558   57   65 58502.5801 20706.1635  64.6%   2.9  245s
 695697 551055 46818.7380   96   56 58502.5801 20734.7817  64.6%   2.9  250s
 708873 561692 49963.2278  119   53 58502.5801 20758.2262  64.5%   2.9  255s
 722113 571763     cutoff  117      58502.5801 20784.1231  64.5%   2.9  260s
 734294 581513 49282.9906  112   53 58502.5801 20808.2730  64.4%   2.9  265s
*745618 590434             195    58479.688960 20827.4155  64.4%   2.9  269s
 746319 591217 32549.1482   72   63 58479.6890 20827.9942  64.4%   2.9  270s
 759164 601279 58278.1050  191   53 58479.6890 20853.1077  64.3%   2.9  275s
 773046 612366 39817.0758   85   61 58479.6890 20881.3104  64.3%   2.9  280s
 785863 622515 51555.6889  142   52 58479.6890 20902.2420  64.3%   2.9  285s
 798993 633142 51950.5985  107   51 58479.6890 20925.8659  64.2%   2.9  290s
 811598 642634 40682.9978   90   60 58479.6890 20946.7080  64.2%   2.9  295s
 824185 653055 29693.7479   63   58 58479.6890 20962.4713  64.2%   2.9  300s
 837546 663365     cutoff  130      58479.6890 20988.6545  64.1%   2.9  305s
 851571 674307 44880.6266  111   54 58479.6890 21016.4177  64.1%   2.9  310s
 865429 685243 37720.4685   76   60 58479.6890 21040.3568  64.0%   2.9  315s
 877320 694957 40448.2841  137   58 58479.6890 21055.3013  64.0%   2.9  320s
 890338 705401 48338.4451   85   56 58479.6890 21075.1384  64.0%   2.9  325s
H892480 706835                    58470.218313 21080.4960  63.9%   2.9  325s
 902924 715304 53285.5953  105   49 58470.2183 21099.8604  63.9%   2.9  330s
 915762 724947 48274.1599  120   52 58470.2183 21119.5678  63.9%   2.9  335s
 928508 734497 58292.6673  151   48 58470.2183 21139.0102  63.8%   2.9  340s
 940417 743663 54402.2151  119   55 58470.2183 21158.8924  63.8%   2.9  345s
 953198 753544 42250.8883   83   58 58470.2183 21180.9907  63.8%   2.9  350s
 965852 763353 56965.1467  133   47 58470.2183 21201.7884  63.7%   2.9  355s
 978614 773481 25917.5198   68   60 58470.2183 21216.3755  63.7%   2.9  360s
 990878 782759 52566.3549  131   52 58470.2183 21233.9444  63.7%   2.9  365s
 1003616 792483 54938.9647  118   47 58470.2183 21250.9116  63.7%   2.9  370s
 1016870 802855 48712.7108  110   58 58470.2183 21267.0388  63.6%   2.9  375s
 1029560 813128 55369.2058  161   49 58470.2183 21284.9272  63.6%   2.9  380s
 1042456 823255 27649.4662   61   59 58470.2183 21302.8797  63.6%   2.9  385s
 1055501 833384 33577.7130   74   62 58470.2183 21322.0567  63.5%   2.9  390s
 1068432 843293     cutoff  123      58470.2183 21340.0645  63.5%   2.9  395s
 1080550 852863 56521.5344  134   33 58470.2183 21354.4260  63.5%   2.9  400s
 1093476 862964 25988.9058   64   65 58470.2183 21369.3019  63.5%   2.9  405s
 1105787 872197     cutoff  101      58470.2183 21385.2404  63.4%   2.9  410s
 1118517 882166 42934.6914   99   52 58470.2183 21403.7401  63.4%   2.9  415s
 1131443 892017 57201.9646  108   54 58470.2183 21422.3278  63.4%   2.9  420s
