
Gurobi 11.0.3 (linux64, Java) logging started sáb 30 nov 2024 07:07:15 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.5029985070196468e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 58003 rows, 39068 columns and 204825 nonzeros
Model fingerprint: 0x6ae0a956
Model has 144 quadratic constraints
Variable types: 19466 continuous, 19602 integer (139 binary)
Coefficient statistics:
  Matrix range     [7e-03, 6e+05]
  QMatrix range    [7e-03, 2e+04]
  QLMatrix range   [1e+00, 2e+04]
  Objective range  [2e+00, 8e+06]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 4e+05]
  QRHS range       [8e-02, 8e-02]
Presolve removed 57813 rows and 38465 columns
Presolve time: 0.11s
Presolved: 637 rows, 749 columns, 6578 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 139 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 427 continuous, 322 integer (141 binary)
Found heuristic solution: objective 542893.08140

Root relaxation: objective 1.511987e+05, 89 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 151198.728    0   65 542893.081 151198.728  72.1%     -    0s
H    0     0                    511870.93228 151198.728  70.5%     -    0s
     0     0 200107.566    0   66 511870.932 200107.566  60.9%     -    0s
H    0     0                    366894.67649 200124.357  45.5%     -    0s
 2188569 1729310 249557.182  160   48 254516.656 236024.877  7.27%   3.0  935s
 2205070 1739713 240296.333   94   63 254516.656 236025.982  7.27%   3.0  940s
 2213576 1745693 246485.560  136   55 254516.656 236026.411  7.26%   3.0  945s
 2224461 1752165 238612.368   87   61 254516.656 236026.900  7.26%   3.1  950s
 2231836 1757962 252967.398  163   46 254516.656 236026.900  7.26%   3.1  955s
 2241760 1764085 248307.643  106   54 254516.656 236027.794  7.26%   3.1  960s
 2253141 1770062 244369.944  128   58 254516.656 236028.490  7.26%   3.1  965s
 2262062 1776729 253525.736  134   49 254516.656 236029.105  7.26%   3.1  970s
 2274200 1784663 239964.801   85   63 254516.656 236029.674  7.26%   3.1  975s
 2283509 1789549     cutoff  157      254516.656 236030.158  7.26%   3.1  980s
 2294705 1797236     cutoff  188      254516.656 236030.872  7.26%   3.1  985s
 2305922 1803086 249465.659  118   54 254516.656 236031.595  7.26%   3.1  990s
 2313396 1807387 242175.639  117   60 254516.656 236032.119  7.26%   3.1  995s
 2324546 1815659 242186.721  116   57 254516.656 236032.452  7.26%   3.1 1000s
 2332660 1821189 254181.724  143   49 254516.656 236032.983  7.26%   3.1 1005s
 2344232 1829828 254350.189  159   48 254516.656 236033.463  7.26%   3.1 1010s
 2351204 1834946 243533.072  117   59 254516.656 236034.050  7.26%   3.1 1015s
 2362174 1841992 253877.983  157   46 254516.656 236034.611  7.26%   3.1 1020s
 2371302 1848835 251127.263  164   50 254516.656 236034.661  7.26%   3.1 1026s
 2379408 1854881 242974.246  108   60 254516.656 236035.372  7.26%   3.1 1030s
 2390523 1864108 246643.938  128   55 254516.656 236035.792  7.26%   3.1 1036s
 2397756 1868853     cutoff  154      254516.656 236036.172  7.26%   3.1 1040s
 2409499 1878969 251693.351  183   44 254516.656 236036.587  7.26%   3.1 1046s
 2415415 1882096     cutoff  132      254516.656 236037.330  7.26%   3.1 1050s
